Numer KRS,Regon,Nip,Nazwa firmy,Forma prawna,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer domu,Numer lokalu,Kod pocztowy,Poczta,Numer kierunkowy 1,Telefon 1,Numer kierunkowy 2,Telefon 2,Kierunowy fax,Fax,Kapitał,Data rozpoczęcia działalności,Data powstania,Adres WWW,Adres Email,Główny PKD,Zatrudnienie,PKD 1,PKD 2,PKD 3,Pierwsze imię,Drugie imię,Nazwisko lub Nazwa ,Nazwisko drugi człon,Funkcja,Data wpisania,Column1
i2527441,363315998,7732477679,MIEJSKIE CENTRUM KULTURY W TOMASZOWIE MAZOWIECKIM,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,TOMASZÓW MAZOWIECKI,TOMASZÓW MAZOWIECKI,UL. PLAC TADEUSZA KOŚCIUSZKI,18,,97-200,TOMASZÓW MAZOWIECKI,,447122369,,,,,0,1/1/2016,1/1/2016,,sekretariat@tomaszow-maz.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822499,100417910,7732398709,GMINNY DOM KULTURY W ŻELECHLINKU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,ŻELECHLINEK,ŻELECHLINEK,PLAC TYSIĄCLECIA PAŃSTWA POLSKIEGO,2,,97-226,ŻELECHLINEK,,447122712,,,,447122770,0,9/1/2007,9/1/2007,,gmina@zelechlinek.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i4791919,387683499,7732494755,"GMINNE CENTRUM KULTURY, REKREACJI I BIBLIOTEKA PUBLICZNA W CZERNIEWICACH",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,CZERNIEWICE,CZERNIEWICE,UL. KONRADA KIKA,2,,97-216,CZERNIEWICE,,447123234,,,,,0,1/1/2021,11/25/2020,,gckribp@czerniewice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2715908,590611577,7732062346,MIEJSKI OŚRODEK KULTURY W KOLUSZKACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁÓDZKI WSCHODNI,KOLUSZKI,KOLUSZKI,UL. 3 MAJA,2,,95-040,KOLUSZKI,,447145880,,,,447145880,0,4/1/1997,4/1/1997,www.mok-koluszki.pl,mokkoluszki@interia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2384843,592272620,7732295211,MIEJSKIE CENTRUM KULTURY W UJEŹDZIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,UJAZD,OSIEDLE NIEWIADÓW,,43,,97-225,UJAZD,,447192396,,,,447192396,0,1/1/2004,1/1/2004,,gok_ujazd@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2828363,590565860,7732383955,GMINNY OŚRODEK KULTURY W ROKICINACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,ROKICINY,ROKICINY-KOLONIA,UL. HENRYKA SIENKIEWICZA,1,,97-221,ROKICINY,,447195091,,,,447195012,0,5/1/1991,9/28/2006,,gok@rokiciny.net,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i3215011,366310330,7732480629,POWIATOWE CENTRUM ANIMACJI SPOŁECZNEJ IM. PŁK.WITOLDA PILECKIEGO W TOMASZOWIE MAZOWIECKIM,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,TOMASZOWSKI,TOMASZÓW MAZOWIECKI,TOMASZÓW MAZOWIECKI,UL. FARBIARSKA,20/24,,97-200,TOMASZÓW MAZOWIECKI,,447246334,,,,,0,1/1/2017,1/1/2017,www.pcastm.pl,sekretariat@pcas-tomaszow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2822516,100623525,7692167546,GMINNY OŚRODEK KULTURY W KLESZCZOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,BEŁCHATOWSKI,KLESZCZÓW,KLESZCZÓW,UL. GŁÓWNA,74,,97-410,KLESZCZÓW,,447313230,,,,447313230,0,1/7/2009,1/7/2009,,biuro@gok.kleszczow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2168291,1403065,7710008397,MIEJSKI OŚRODEK KULTURY W PIOTRKOWIE TRYB.,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,M. PIOTRKÓW TRYBUNALSKI,M. PIOTRKÓW TRYBUNALSKI,PIOTRKÓW TRYBUNALSKI,UL. JULIUSZA SŁOWACKIEGO,13,,97-300,PIOTRKÓW TRYBUNALSKI,,447325237,,,,447325249,0,11/2/1989,11/2/1989,www.mok.piotrkow.pl,kancelaria@mok.piotrkow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2822503,788152,7712371038,OŚRODEK DZIAŁAŃ ARTYSTYCZNYCH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,M. PIOTRKÓW TRYBUNALSKI,M. PIOTRKÓW TRYBUNALSKI,PIOTRKÓW TRYBUNALSKI,UL. JAROSŁAWA DĄBROWSKIEGO,5,,97-300,PIOTRKÓW TRYBUNALSKI,,447339388,,,,,0,1/1/1978,3/1/1999,,,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2164437,787773,7681237042,MIEJSKI DOM KULTURY IM.TADEUSZA SYGIETYŃSKIEGO W OPOCZNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,OPOCZYŃSKI,OPOCZNO,OPOCZNO,UL. EDMUNDA BIERNACKIEGO,4,,26-300,OPOCZNO,,447361410,,,,447361410,0,1/1/1978,1/1/1978,www.mdk.opoczno.net,mdk_opoczno@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2820330,100131041,7681736549,GMINNY OŚRODEK KULTURY W SŁAWNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,OPOCZYŃSKI,SŁAWNO,SŁAWNO,UL. ZIELONA,2,,26-332,SŁAWNO,,447551852,,,,447551852,0,1/1/2006,11/2/2005,,gok.slawno@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i3376898,101613500,7712877803,GMINNE CENTRUM KULTURY W ALEKSANDROWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,PIOTRKOWSKI,ALEKSANDRÓW,ALEKSANDRÓW,,39B,,26-337,ALEKSANDRÓW,,447560027,,,,447560014,0,6/5/2013,3/1/2013,,gck@gmina-aleksandrow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820328,100617594,7681796391,GMINNY OŚRODEK KULTURY W POŚWIĘTNEM,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,OPOCZYŃSKI,POŚWIĘTNE,POŚWIĘTNE,UL. GŁÓWNA,40,,26-315,POŚWIĘTNE,,447564002,,,,,0,12/28/2006,12/28/2006,www.poswietne.pl,gok_poswietne@o2.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822533,100296664,7722312149,MIEJSKI DOM KULTURY W PRZEDBORZU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,RADOMSZCZAŃSKI,PRZEDBÓRZ,PRZEDBÓRZ,UL. RYNEK,15,,97-570,PRZEDBÓRZ,,447812515,,,,447812515,0,11/2/1992,11/2/1992,,mdk_przedborz@o2.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i5748183,527304893,527304893,DOM KULTURY W DOBREJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ZACHODNIOPOMORSKIE,ŁOBESKI,DOBRA,DOBRA,UL. ARMII KRAJOWEJ,24,,72-210,DOBRA,,451254714,,,,,0,1/1/2024,12/22/2023,,sekretariat@dkdobra.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i4415281,384617310,8351613235,GMINNY OŚRODEK KULTURY W MATYLDOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,RAWSKI,RAWA MAZOWIECKA,MATYLDÓW,,1 A,,96-200,RAWA MAZOWIECKA,,468144241,,,,468144241,0,8/16/2019,8/16/2019,,gok@rawam.ug.gov.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2384822,1115165,8351240461,MIEJSKI DOM KULTURY W RAWIE MAZOWIECKIEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,RAWSKI,RAWA MAZOWIECKA,RAWA MAZOWIECKA,UL. KRAKOWSKA,6 C,,96-200,RAWA MAZOWIECKA,,468154713,,,,468154713,0,3/22/1985,3/22/1985,www.mdkrawa.pl,mdkrawa@interia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2828330,750671452,8351467644,MIEJSKO-GMINNY OŚRODEK KULTURY W BIAŁEJ RAWSKIEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,RAWSKI,BIAŁA RAWSKA,BIAŁA RAWSKA,UL. WOJSKA POLSKIEGO,9,,96-230,BIAŁA RAWSKA,,468159564,,,,468159564,0,1/5/2001,1/5/2001,,sekretariat@mgokbiala.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822588,100415235,8341831284,"CENTRUM KULTURY, TURYSTYKI I PROMOCJI ZIEMI ŁOWICKIEJ",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁOWICKI,ŁOWICZ,ŁOWICZ,PL. STARY RYNEK,17,,99-400,ŁOWICZ,,468303346,,,,468303043,0,10/1/2007,10/1/2007,,bozenast@op.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822462,100376156,8361875362,MAKOWSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,SKIERNIEWICKI,MAKÓW,MAKÓW,UL. AKACJOWA,2B,,96-124,MAKÓW,,468312940,,,,,0,7/1/2007,4/25/2007,,mck@gminamakow.info,91.01.A - DZIAŁALNOŚĆ BIBLIOTEK,'1-9, , , ,,,,,,,
i2832809,750202734,8361620389,GMINNY OŚRODEK KULTURY I SPORTU W SŁUPI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,SKIERNIEWICKI,SŁUPIA,SŁUPIA,,136,,96-128,SŁUPIA,,468315591,,,46,8315514,0,2/8/2000,2/8/2000,,gokisslupia@gmail.com,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822463,958192,8361799454,GMINNY OŚRODEK KULTURY SPORTU I REKREACJI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,SKIERNIEWICKI,LIPCE REYMONTOWSKIE,LIPCE REYMONTOWSKIE,UL. REYMONTA,24,,96-127,LIPCE REYMONTOWSKIE,,468316179,,,46,8316179,0,12/7/1981,7/1/2007,,goksir@op.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2168241,1013370,8361000793,CENTRUM KULTURY I SZTUKI W SKIERNIEWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,M. SKIERNIEWICE,M. SKIERNIEWICE,SKIERNIEWICE,UL. WŁADYSŁAWA STANISŁAWA REYMONTA,33,,96-100,SKIERNIEWICE,,468332112,,,,468334489,0,8/1/1982,8/1/1982,,sekretariat@cekis.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'30-49, , , ,,,,,,,
i2384886,750004359,8340000718,ŁOWICKI OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁOWICKI,ŁOWICZ,ŁOWICZ,UL. PODRZECZNA,20,,99-400,ŁOWICZ,,468374001,,,,,0,7/1/1991,7/1/1991,,lowickiosrodekkultury@gmail.com,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i3395970,750152150,8341803945,BIBLIOTEKA I OŚRODEK KULTURY W BIELAWACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁOWICKI,BIELAWY,BIELAWY,UL. PODRZECZNA,1,6,99-423,BIELAWY,,468382531,,,,468382531,0,6/10/1974,5/18/2006,,bpbielawy@wp.pl,91.01.A - DZIAŁALNOŚĆ BIBLIOTEK,'1-9, , , ,,,,,,,
i2822597,1301502,8341719185,GMINNY OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁOWICKI,DOMANIEWICE,DOMANIEWICE,UL. GŁÓWNA,3,,99-434,DOMANIEWICE,,468383513,,,,,0,6/11/1988,6/18/2002,,gok@gokdomaniewice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822595,100444811,8341834466,GMINNY OŚRODEK KULTURY I SPORTU W ŁYSZKOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,ŁOWICKI,ŁYSZKOWICE,ŁYSZKOWICE,UL. GMINNA,14,,99-420,ŁYSZKOWICE,,468388737,,,46,8388737,0,9/26/2007,9/26/2007,,dyrektor@gokis.lyszkowice.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822470,1252040,8380006897,CENTRUM KULTURY W ŻYRARDOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,ŻYRARDOWSKI,ŻYRARDÓW,ŻYRARDÓW,PLAC JANA PAWŁA II,3,,96-300,ŻYRARDÓW,,468553054,,,,468553054,0,11/12/1986,8/31/1992,,ckzyrardow@ckzyrardow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2715947,750411774,8381313561,MŁODZIEŻOWY DOM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,ŻYRARDOWSKI,ŻYRARDÓW,ŻYRARDÓW,UL. STANISŁAWA MONIUSZKI,15,,96-300,ŻYRARDÓW,,468554514,,,,468553340,0,1/1/1984,1/1/1984,www.mlodek.pl,mlodek@vp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2822478,554017,8381318995,GMINNY OŚRODEK KULTURY W RADZIEJOWICACH,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,ŻYRARDOWSKI,RADZIEJOWICE,RADZIEJOWICE,UL. SIENKIEWICZA,6,,96-325,RADZIEJOWICE,,468563535,,,,,0,12/15/1975,12/15/1975,www.powozownia.radziejowice.pl/kontakt,biuro.powozownia@gmail.com,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2715950,958223,8380008749,MSZCZONOWSKI OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,ŻYRARDOWSKI,MSZCZONÓW,MSZCZONÓW,UL. WARSZAWSKA,33,,96-320,MSZCZONÓW,,468571663,,,,468571663,0,12/7/1981,12/7/1981,www.mok-mszczonow.pl,mok@mszczonow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2822475,957583,8381322117,DOM KULTURY W ŻABIEJ WOLI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,GRODZISKI,ŻABIA WOLA,ŻABIA WOLA,UL. WARSZAWSKA,27,,96-321,ŻABIA WOLA,,468578260,,,,,0,12/7/1981,2/14/2001,,domkultury@zabiawola.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822488,957643,8371666275,GMINNY OŚRODEK KULTURY SPORTU I REKREACJI W NOWEJ SUCHEJ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,SOCHACZEWSKI,NOWA SUCHA,NOWA SUCHA,,50 A,,96-513,NOWA SUCHA,,468612339,,,46,8612051,0,12/7/1981,12/7/1981,,gbp_nowasucha@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2828348,750442473,8371011456,TERESIŃSKI OŚRODEK KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,SOCHACZEWSKI,TERESIN,TERESIN,ALEJA XX-LECIA,32,,96-515,TERESIN,,468613881,,,,,0,2/11/1993,1/2/2001,www.tokesochaczew.pl,kulturysci@tok.art.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822486,957620,8371813428,GMINNY OŚRODEK KULTURY W MŁODZIESZYNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,SOCHACZEWSKI,MŁODZIESZYN,MŁODZIESZYN,UL. WYSZOGRODZKA,25,,96-512,MŁODZIESZYN,,468616454,,,,468616454,0,12/7/1981,2/16/2012,,goksir@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2242203,362168549,8371816941,SOCHACZEWSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,SOCHACZEWSKI,SOCHACZEW,SOCHACZEW,UL. 15 SIERPNIA,83,,96-500,SOCHACZEW,,468630768,,,,468630768,0,8/1/2015,8/1/2015,www.sck.sochaczew.pl,sekretariat.15sierpnia@sck.sochaczew.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i4411733,384530111,8331403693,GMINNY OŚRODEK KULTURY W PRZECŁAWIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,BRZEZIŃSKI,BRZEZINY,PRZECŁAW,,33,,95-060,BRZEZINY,,468742352,,,,,0,9/6/2019,9/6/2019,,gokprzeclaw@o2.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2822442,1252028,8331328980,MIEJSKI DOM KULTURY W JEŻOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,BRZEZIŃSKI,JEŻÓW,JEŻÓW,UL. KWIATOWA,1,,95-047,JEŻÓW,,468755203,,,,,0,11/12/1986,1/1/2001,,gok.tracz@interia.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2820358,141208576,7962813922,GMINNE CENTRUM KULTURY I KULTURY FIZYCZNEJ W JEDLIŃSKU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,RADOMSKI,JEDLIŃSK,JEDLIŃSK,UL. KRÓTKA,1,,26-660,JEDLIŃSK,,483213052,,,,,0,1/1/2008,5/28/2007,,jedlinskgckikf@vp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2807599,364607131,7972057669,MIEJSKO-GMINNY OŚRODEK KULTURY W NOWYM MIEŚCIE NAD PILICĄ,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,GRÓJECKI,NOWE MIASTO NAD PILICĄ,NOWE MIASTO NAD PILICĄ,UL. TOMASZOWSKA,5,,26-420,NOWE MIASTO NAD PILICĄ,,483216233,,,,,0,6/1/2016,6/1/2016,www.mgok.nowemiasto.pl/,mgok@nowemiasto.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2826431,670845879,9481685498,DOM KULTURY BORKI,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,M. RADOM,M. RADOM,RADOM,UL. SUCHA,2,,26-600,RADOM,,483318446,,,,483312427,0,2/14/1996,6/28/1996,www.dkborki.radom.pl,dk.borki@op.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2164461,286539,7961065872,MŁODZIEŻOWY DOM KULTURY IM. HELENY STADNICKIEJ W RADOMIU,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,M. RADOM,M. RADOM,RADOM,UL. JULIUSZA SŁOWACKIEGO,17,,26-600,RADOM,,483606202,,,,483643365,0,2/1/1952,2/1/1952,www.mdk.radom.pl,mdk.dyrekcja@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'50-99, , , ,,,,,,,
i2381480,572328,7961834483,"OŚRODEK KULTURY I SZTUKI ""RESURSA OBYWATELSKA""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,M. RADOM,M. RADOM,RADOM,UL. JACKA MALCZEWSKIEGO,16,,26-600,RADOM,,483624263,,,,483624263,0,12/15/1975,12/15/1975,www.resursa.radom.pl,resursa@resursa.radom.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2713857,282808,7961062721,"MIEJSKI OŚRODEK KULTURY ""AMFITEATR""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,M. RADOM,M. RADOM,RADOM,UL. PARKOWA,1,,26-600,RADOM,,483642968,,,,483642968,0,12/15/1975,12/15/1975,www.amfiteatr.radom.pl,amfiteatr.radom@wp.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820350,5126622,9481668689,"DOM KULTURY ""IDALIN""",JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,M. RADOM,M. RADOM,RADOM,UL. BLUSZCZOWA,4/8,,26-600,RADOM,,483652717,,,,,0,2/25/1991,2/25/1991,,dkidalin@poczta.onet.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i4823297,387899615,7963000776,POWIATOWY INSTYTUT KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,RADOMSKI,IŁŻA,IŁŻA,UL. MAKSYMILIANA JAKUBOWSKIEGO,5,,27-100,IŁŻA,,483654838,,,,,0,1/1/2021,1/4/2021,www.pik.radom.pl/kontakt/,pik@pik.radom.pl,91.01.A - DZIAŁALNOŚĆ BIBLIOTEK,'1-9, , , ,,,,,,,
i2820333,100106570,7681736012,REGIONALNE CENTRUM KULTURY W DRZEWICY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,ŁÓDZKIE,OPOCZYŃSKI,DRZEWICA,DRZEWICA,UL. STAWOWA,27A,,26-340,DRZEWICA,,483755110,,,,,0,2/15/1991,1/1/2006,www.rck.drzewica.pl,rck@rck.drzewica.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i2713890,670598808,8111251270,LIPSKIE CENTRUM KULTURY,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,LIPSKI,LIPSKO,LIPSKO,UL. RYNEK,2,,27-300,LIPSKO,,483780131,,,,483780131,0,1/1/1993,1/1/1993,www.lcklipsko.pl,lck@lcklipsko.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'10-29, , , ,,,,,,,
i2820382,140345880,5090020858,GMINNY OŚRODEK KULTURY W SIENNIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,LIPSKI,SIENNO,SIENNO,UL. RYNEK,19,,27-350,SIENNO,,483786062,,,,,0,1/2/2006,12/6/2005,,gok@sienno.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
i4465358,385170666,9482620986,GMINNE CENTRUM KULTURY I BIBLIOTEKA W WOLANOWIE,JEDNOSTKA ORGANIZACYJNA ADMINISTRACJI SAMORZĄDOWEJ,MAZOWIECKIE,RADOMSKI,WOLANÓW,WOLANÓW,UL. OPOCZYŃSKA,3,,26-625,WOLANÓW,,483803658,,,,,0,1/2/2020,1/2/2020,,gckib@wolanow.pl,90.04.Z - DZIAŁALNOŚĆ OBIEKTÓW KULTURALNYCH,'1-9, , , ,,,,,,,
