Nazwa Firmy,Województwo,Powiat,Gmina,Miejscowość,Ulica,Numer Domu,Numer Lokalu,Kod Pocztowy,Poczta,Telefon ,Adres WWW,Adres Email
Centrum Kulturalno-Biblioteczne W Sokołach,Podlaskie,Wysokomazowiecki,Sokoły,Sokoły,Ul. Kolejowa,3,,18-218,Sokoły,864763178,,ckb.sokoly@gmail.com
Miejskie Centrum Kultury W Przytyku,Mazowieckie,Radomski,Przytyk,Przytyk,Ul. Szkolna,3,,26-650,Przytyk,512095992,,ckib@przytyk.pl
Gminny Ośrodek Kultury W Radzanowie,Mazowieckie,Płocki,Radzanowo,Radzanowo,Ul. Szkolna,3,,09-451,Radzanowo,242613484,,cks@radzanowo.pl
Centrum Kultury W Żyrardowie,Mazowieckie,Żyrardowski,Żyrardów,Żyrardów,Plac Jana Pawła Ii,3,,96-300,Żyrardów,468553054,,ckzyrardow@ckzyrardow.pl
Sulechowski Dom Kultury Im.Fryderyka Chopina,Lubuskie,Zielonogórski,Sulechów,Sulechów,Aleja Wielkopolska,3,,66-100,Sulechów,683852214,www.dk-sulechow.com,dk-sulechow@dk-sulechow.com
Brzozowski Dom Kultury W Brzozowie,Podkarpackie,Brzozowski,Brzozów,Brzozów,Ul. Armii Krajowej,3,,36-200,Brzozów,134341938,,dkbrzozow@gmail.com
"Centrum Tradycji, Turystyki I Kultury Gór Świętokrzyskich W Bielinach",Świętokrzyskie,Kielecki,Bieliny,Bieliny,Ul. Partyzantów,3,,26-004,Bieliny,412608151,,dyrekcja@osadasredniowieczna.eu
Ośrodek Kultury W Czudcu,Podkarpackie,Strzyżowski,Czudec,Czudec,Ul. Świętego Marcina,3,,38-120,Czudec,172772444,www.ok-czudec.pl,dyrektor@ok-czudec.pl
Gminne Centrum Biblioteczno-Kulturalne W Krzanowicach,Śląskie,Raciborski,Pietrowice Wielkie,Krzanowice,Ul. Zawadzkiego,3,,47-470,Krzanowice,324108046,,gcbk@krzanowice.pl
Miejsko-Gminne Centrum Kultury W Szydłowie,Świętokrzyskie,Staszowski,Szydłów,Szydłów,Ul. Targowa,3,,28-225,Szydłów,413545313,,gck@szydlow.pl
Gminne Centrum Kultury I Biblioteka W Wolanowie,Mazowieckie,Radomski,Wolanów,Wolanów,Ul. Opoczyńska,3,,26-625,Wolanów,483803658,,gckib@wolanow.pl
Gminne Centrum Kultury I Czytelnictwa W Radłowie,Małopolskie,Tarnowski,Radłów,Radłów,Pl. Tadeusza Kościuszki,3,,33-130,Radłów,146782036,www.kulturaradlow.pl,gckicradlow@gmail.com
"Gminny Ośrodek Kultury ""Wozownia""",Wielkopolskie,Turecki,Brudzew,Kolnica,,3,,62-720,Brudzew,782011017,,gok@brudzew.pl
Gminny Ośrodek Kultury W Dębem Wielkim,Mazowieckie,Miński,Dębe Wielkie,Dębe Wielkie,Ul. Strażacka,3,,05-311,Dębe Wielkie,503015608,,gok@debewielkie.pl
Ośrodek Kultury W Dziemianach,Pomorskie,Kościerski,Dziemiany,Dziemiany,Ul. 8 Marca,14,,83-425,Dziemiany,586880027,,ok.@dziemiany.pl
Gminny Ośrodek Kultury,Łódzkie,Łowicki,Domaniewice,Domaniewice,Ul. Główna,3,,99-434,Domaniewice,468383513,,gok@gokdomaniewice.pl
Gminny Ośrodek Kultury,Łódzkie,Łaski,Widawa,Widawa,Ul. Mickiewicza,3,,98-170,Widawa,436721116,www.widawa.pl,gok@widawa.pl
Gminny Ośrodek Kultury W Bogorii,Świętokrzyskie,Staszowski,Bogoria,Bogoria,Ul. Spacerowa,3,,28-210,Bogoria,158674165,www.gok-bogoria.pl,gok0@gazeta.pl
Gminny Ośrodek Kultury W Zaniemyślu,Wielkopolskie,Średzki,Zaniemyśl,Zaniemyśl,Ul. Sienkiewicza,3,,63-020,Zaniemyśl,612857150,www.zaniemysl.pl,gokir@zaniemysl.pl
Gminny Ośrodek Kultury I Sportu W Małkini Górnej,Mazowieckie,Ostrowski,Małkinia Górna,Małkinia Górna,Ul. Przedszkolna,3,,07-320,Małkinia Górna,297455062,www.gokmalkinia.pl,gokis@malkiniagorna.pl
Gminny Ośrodek Kultury W Jaśle Z/S W Brzyściu,Podkarpackie,Jasielski,Jasło,Brzyście,,3,,38-200,Jasło,781509991,www.gokjaslo.pl,gokjaslo@op.pl
Gminny Ośrodek Kultury W Karniewie,Mazowieckie,Makowski,Karniewo,Karniewo,Ul. Pułtuska,3,,06-425,Karniewo,296911013,,gokkarniewo@wp.pl
Miejsko-Gminny Ośrodek Kultury W Łopusznie,Świętokrzyskie,Kielecki,Łopuszno,Łopuszno,Ul. Włoszczowska,3,,26-070,Łopuszno,600036875,,goklopuszno@gmail.com
Gminny Ośrodek Kultury W Piątku,Łódzkie,Łęczycki,Piątek,Piątek,Ul. Strażacka,3,,99-120,Piątek,604282084,,gokpiatek@op.pl
Gminny Ośrodek Kultury,Lubelskie,Łęczyński,Puchaczów,Puchaczów,Ul. Rynek,3,,21-013,Puchaczów,817575345,,gokpuch@wp.pl
Gminny Ośrodek Kultury W Repkach,Mazowieckie,Sokołowski,Repki,Repki,Ul. Szkolna,3,,08-307,Repki,257875080,,gokrepki@wp.pl
Fabryka Kultury W Redzie,Pomorskie,Wejherowski,Reda,Reda,Ul. Łąkowa,59 A,,84-240,Reda,587362828,www.fabrykakultury.pl,biuro@fabrykakultury.pl
"Gminny Ośrodek Kultury, Sportu I Rekreacji W Krupskim Młynie",Śląskie,Tarnogórski,Krupski Młyn,Krupski Młyn,Ul. Zawadzkiego,3,,42-693,Krupski Młyn,322848450,www.goksirkrupskimlyn.pl/,goksirkrupskimlyn@onet.pl
"Gminne Centrum Kultury, Informacji I Rekreacji W Poczesnej",Śląskie,Częstochowski,Poczesna,Poczesna,Ul. Modrzewiowa,3,,42-262,Poczesna,343274078,,goksirpoczesna@wp.pl
Gminny Ośrodek Kultury W Skierbieszowie,Lubelskie,Zamojski,Skierbieszów,Skierbieszów,Ul. Zielona,3,,22-420,Skierbieszów,846213654,,gokskierbieszow1@wp.pl
Gminny Ośrodek Kultury W Skórcu,Mazowieckie,Siedlecki,Skórzec,Skórzec,Ul. Siedlecka,3,,08-114,Skórzec,531905455,www.gokskorzec.pl/kontakt/,gokskorzec@skorzec.eu
Gminny Ośrodek Kultury W Trzydniku Dużym,Lubelskie,Kraśnicki,Trzydnik Duży,Trzydnik Duży,,3,,23-230,Trzydnik Duży,158731826,www.goktrzydnik.pl,goktrzydnik@o2.pl
Świetlica Gminna W Wiżajnach,Podlaskie,Suwalski,Wiżajny,Wiżajny,Ul. Wierzbołowska,3,,16-407,Wiżajny,875688053,,gokwizajny@wp.pl
Gminny Ośrodek Upowszechniania Kultury W Nurcu Stacji,Podlaskie,Siemiatycki,Nurzec-Stacja,Nurzec-Stacja,Ul. Kolejowa,3,,17-330,Nurzec-Stacja,856575075,,gouk@nurzec-stacja.eu
Gminne Centrum Kultury W Poniecu,Wielkopolskie,Gostyński,Poniec,Poniec,Ul. Szkolna,3,,64-125,Poniec,655731169,www.gck.poniec.pl/,info@gck.poniec.eu
Wałeckie Centrum Kultury,Zachodniopomorskie,Wałecki,Wałcz,Wałcz,Plac Zesłańców Sybiru,3,,78-600,Wałcz,512207877,www.wckwalcz.pl,info@wckwalcz.pl
Centrum Kultury Gminy Czorsztyn,Małopolskie,Nowotarski,Czorsztyn,Maniowy,Ul. Gorczańska,3,,34-436,Maniowy,182750071,,janinaplewa@op.pl
Janowski Ośrodek Kultury,Lubelskie,Janowski,Janów Lubelski,Janów Lubelski,Ul. Jana Pawła Ii,3,,23-300,Janów Lubelski,158724677,www.jokjanow.pl/,jok_janowl@op.pl
"Tatrzańskie Centrum Kultury ""Jutrzenka"" W Zakopanem",Małopolskie,Tatrzański,Zakopane,Zakopane,Ul. Grunwaldzka,3,,34-500,Zakopane,182012833,www.jutrzenkaz.pl,jutrzenka@jutrzenkaz.pl
"Samorządowa Instytucja Kultury ""Kasztelania""",Świętokrzyskie,Pińczowski,Kije,Kije,Ul. Kasztelańska,3,,28-404,Kije,533980123,,kasztelania@kije.pl
Centrum Kultury Victoria W Gliwicach,Śląskie,M. Gliwice,M. Gliwice,Gliwice,Ul. Norberta Barlickiego,3,,44-100,Gliwice,324442812,,kontakt@ckvictoria.pl
Gminny Ośrodek Kultury,Mazowieckie,Siedlecki,Zbuczyn,Zbuczyn,Ul. Jana Pawła Ii,3,,08-106,Zbuczyn,256416161,,kontakt@gokzbuczyn.pl
Małopolskie Centrum Kultury Sokół W Nowym Sączu,Małopolskie,M. Nowy Sącz,M. Nowy Sącz,Nowy Sącz,Ul. Jana Długosza,3,,33-300,Nowy Sącz,184482610,www.mcksokol.pl,kontakt@mcksokol.pl
Żychliński Dom Kultury,Łódzkie,Kutnowski,Żychlin,Żychlin,Ul. Fabryczna,3,,99-320,Żychlin,243512057,www.zedek.pl,kontakt@zedek.pl
Grójecki Ośrodek Kultury W Grójcu,Mazowieckie,Grójecki,Grójec,Grójec,Ul. Józefa Piłsudskiego,3,,05-600,Grójec,486642306,www.gokgrojec.pl,ksiegowosc@gokgrojec.pl
Miejsko-Gminny Ośrodek Kultury,Warmińsko-Mazurskie,Bartoszycki,Sępopol,Sępopol,Ul. Mostowa,3,,11-210,Sępopol,897613204,,kultura@mgok.sepopol.pl
Młodzieżowe Centrum Kultury,Dolnośląskie,M. Legnica,M. Legnica,Legnica,Ul. Adama Mickiewicza,3,,59-220,Legnica,767233340,www.mck.legnica.pl,mck.legnica@wp.pl
Młodzieżowy Dom Kultury Im. Tadeusza Sygietyńskiego W Sieradzu,Łódzkie,Sieradzki,Sieradz,Sieradz,Ul. Tysiąclecia,3,,98-200,Sieradz,438227942,,mdk@cezsieradz.com.pl
Miejski Dom Kultury W Szczebrzeszynie,Lubelskie,Zamojski,Szczebrzeszyn,Szczebrzeszyn,Ul. Sądowa,3,,22-460,Szczebrzeszyn,846821060,www.mdk.szczebrzeszyn.pl,mdk@mdk.szczebrzeszyn.pl
Młodzieżowy Dom Kultury Im. Władysława Broniewskiego W Kaliszu,Wielkopolskie,M. Kalisz,M. Kalisz,Kalisz,Ul. Teatralna,3,,62-800,Kalisz,627672521,www.mdk.kalisz.pl,mdk@um.kalisz.pl
"Młodzieżowy Dom Kultury Nr 8 W Warszawie, Ul. Kolegiacka 3",Mazowieckie,M. St. Warszawa,Wilanów,Warszawa,Ul. Kolegiacka,3,,02-960,Warszawa,222770373,,mdk8@eduwarszawa.pl
Biblioteka I Centrum Kultury Gminy Wejherowo,Pomorskie,Wejherowski,Wejherowo,Gościcino,Ul. Drzewiarza,2,,84-241,Gościcino,587364778,www.bckgw.pl,centrumkultury@bckgw.pl
Miejsko-Gminny Ośrodek Kultury Im. Aleksandra Patkowskiego W Ożarowie,Świętokrzyskie,Opatowski,Ożarów,Ożarów,Ul. Stodolna,3,,27-530,Ożarów,158611085,,mgokozarow@op.pl
Myśliborski Ośrodek Kultury,Zachodniopomorskie,Myśliborski,Myślibórz,Myślibórz,Ul. Klasztorna,3,,74-300,Myślibórz,957472364,www.mok.bono.net.pl,mok@bono.net.pl
Miejski Ośrodek Kultury W Bukownie,Małopolskie,Olkuski,Bukowno,Bukowno,Ul. Kolejowa,3,,32-332,Bukowno,326421938,www.mokbukowno.pl,mokbukowno@op.pl
Miejski Ośrodek Kultury Sportu I Rekreacji W Chełmku,Małopolskie,Oświęcimski,Chełmek,Chełmek,Ul. Plac Jana Kilińskiego,3,,32-660,Chełmek,338461296,www.moksir.chelmek.pl,moksir@chelmek.pl
Nowotomyski Ośrodek Kultury,Wielkopolskie,Nowotomyski,Nowy Tomyśl,Nowy Tomyśl,Ul. Tysiąclecia,3,,64-300,Nowy Tomyśl,614423121,,nok@home.pl
Nakielski Ośrodek Kultury W Nakle Nad Notecią Im. Zygmunta Kornaszewskiego,Kujawsko-Pomorskie,Nakielski,Nakło Nad Notecią,Nakło Nad Notecią,Ul. Adama Mickiewicza,3,,89-100,Nakło Nad Notecią,523860862,www.nok.naklo.pl,nok@nok.naklo.pl
"Centrum Kultury ""Zamek""",Kujawsko-Pomorskie,Świecki,Nowe,Nowe,Pl. Zamkowy,3,,86-170,Nowe,523327081,,nowe@gminanowe.pl
Ośrodek Kultury Samorządowej W Żółkiewce,Lubelskie,Krasnostawski,Żółkiewka,Żółkiewka-Osada,Ul. Krótka,3,,22-335,Żółkiewka-Osada,846831728,,oks_zolkiewka@poczta.onet.pl
Centrum Kultury Im. Krzysztofa Szkudlarka W Witkowie,Wielkopolskie,Gnieźnieński,Witkowo,Witkowo,Ul. Jana Pawła Ii,3,,62-230,Witkowo,614779277,www.skorzecin.net.pl,oksir@skorzecin.net.pl
Pyrzycki Dom Kultury,Zachodniopomorskie,Pyrzycki,Kozielice,Pyrzyce,Ul. Plac Wolności,3,,74-200,Pyrzyce,915701995,www.pdk.pyrzyce.info.pl,pdk@pyrzyce.net.pl
Centrum Kultury W Jędrzejowie,Świętokrzyskie,Jędrzejowski,Jędrzejów,Jędrzejów,Aleja Józefa Piłsudskiego,3,,28-300,Jędrzejów,413861268,,poczta@ckjedrzejow.pl
Zielonogórski Ośrodek Kultury,Lubuskie,M. Zielona Góra,M. Zielona Góra,Zielona Góra,Ul. Festiwalowa,3,,65-520,Zielona Góra,684511006,www.zok.com.pl,promocja@zok.com.pl
Gminny Ośrodek Kultury W Doruchowie,Wielkopolskie,Ostrzeszowski,Doruchów,Doruchów,Ul. Sportowa,3,,63-505,Doruchów,627315640,www.doruchow.pl,ryszardm@doruchow.pl
Gminny Ośrodek Kultury W Nowej Wsi Lęborskiej,Pomorskie,Lęborski,Nowa Wieś Lęborska,Nowa Wieś Lęborska,Ul. Lęborska,20,,84-351,Nowa Wieś Lęborska,588612253,,gok.nwl@interia.eu
Chorzowskie Centrum Kultury,Śląskie,M. Chorzów,M. Chorzów,Chorzów,Ul. Henryka Sienkiewicza,3,,41-500,Chorzów,323497860,www.chck.pl,sekretariat@chck.pl
Miejskie Centrum Kultury Im. Mariana Szafrańskiego,Kujawsko-Pomorskie,Aleksandrowski,Aleksandrów Kujawski,Aleksandrów Kujawski,Ul. Parkowa,3,,87-700,Aleksandrów Kujawski,542818527,www.mckaleksandrowkujawski.pl,sekretariat@mckaleksandrowkujawski.pl
Milanowskie Centrum Kultury,Mazowieckie,Grodziski,Milanówek,Milanówek,Ul. Kościelna,3,,05-822,Milanówek,227583234,www.mckmilanowek.pl,sekretariat@mckmilanowek.pl
Młodzieżowy Dom Kultury W Gliwicach,Śląskie,M. Gliwice,M. Gliwice,Gliwice,Ul. Norberta Barlickiego,3,,44-100,Gliwice,322326954,www.mdk.gliwice.pl,sekretariat@mdk.gliwice.eu
Miejski Dom Kultury Dom Środowisk Twórczych,Podlaskie,M. Łomża,M. Łomża,Łomża,Ul. Wojska Polskiego,3,,18-400,Łomża,862163226,www.mdk.lomza.pl,sekretariat@mdk.lomza.pl
Młodzieżowy Dom Kultury Im. Ireny Kwinto W Lidzbarku Warmińskim,Warmińsko-Mazurskie,Lidzbarski,Lidzbark Warmiński,Lidzbark Warmiński,Ul. Księcia Józefa Poniatowskiego,3,,11-100,Lidzbark Warmiński,897673147,www.mdklw.pl,sekretariat@mdklw.pl
Miejsko-Gminny Ośrodek Kultury,Kujawsko-Pomorskie,Bydgoski,Koronowo,Koronowo,Ul. Szosa Kotomierska,3,,86-010,Koronowo,523822504,www.mgok.koronowo.pl,sekretariat@mgok.koronowo.pl
Miejski Ośrodek Kultury W Olsztynie,Warmińsko-Mazurskie,M. Olsztyn,M. Olsztyn,Olsztyn,Ul. Dąbrowszczaków,3,,10-538,Olsztyn,895221350,,sekretariat@mok.olsztyn.pl
Ośrodek Kultury Gminy Lubin,Dolnośląskie,Lubiński,Lubin,Lubin,Ul. Księcia Ludwika I,3,,59-300,Lubin,768448233,,sekretariat@okgminalubin.pl
Dom Kultury W Pleszewie,Wielkopolskie,Pleszewski,Pleszew,Pleszew,Ul. Kolejowa,3,,63-300,Pleszew,627206757,www.zajezdniakultury.pl,sekretariat@zajezdniakultury.pl
Gminne Centrum Kultury W Rzewniu,Mazowieckie,Makowski,Rzewnie,Rzewnie,,3,,06-225,Rzewnie,297613409,,sekretarz@ugrzewnie.pl
Samorządowy Ośrodek Kultury W Alwerni,Małopolskie,Chrzanowski,Alwernia,Alwernia,Rynek,3,,32-566,Alwernia,122833560,www.sok.alwernia.pl/http,sokalwernia@home.pl
Gminne Centrum Kultury I Promocji Gminy Pałecznica,Małopolskie,Proszowicki,Pałecznica,Pałecznica,Ul. Strażacka,3,,32-109,Pałecznica,413848037,,
Miejski Ośrodek Kultury - Filiadzielnicowy Ośrodek Kultury Kończyce,Śląskie,M. Zabrze,M. Zabrze,Zabrze,Ul. Dorotki,3,,41-800,Zabrze,322750405,,
Gminny Dom Kultury W Korytnicy,Mazowieckie,Węgrowski,Korytnica,Korytnica,Ul. Wyzwolenia,3,,07-120,Korytnica,,,
Gminny Ośrodek Kultury W Mniowie,Świętokrzyskie,Kielecki,Mniów,Mniów,Ul. Centralna,3,,26-080,Mniów,,,
Gminne Centrum Kultury I Informacji W Kochanowicach Filia W Jawornicy,Śląskie,Lubliniecki,Lubliniec,Jawornica,Ul. Szkolna,3,,42-700,Lubliniec,,,
"Miejski Ośrodek Kultury - ""Scena Na Starówce""",Śląskie,M. Żory,M. Żory,Żory,Ul. Kościuszki,3,,44-240,Żory,,,
"Wrocławski Klub ""Formaty""",Dolnośląskie,M. Wrocław,Wrocław-Fabryczna,Wrocław,Ul. Samborska,3-5,,54-615,Wrocław,717893320,www.klubformaty.wroclaw.pl,wkf@interia.pl
Gminny Ośrodek Kultury W Tarnowcu,Podkarpackie,Jasielski,Tarnowiec,Tarnowiec,,30,,38-204,Tarnowiec,134436936,www.tarnowiec.eu,bsmyka@ugtarnowiec.pl
Centrum Kultury Gminy Łomża,Podlaskie,M. Łomża,M. Łomża,Podgórze,Ul. Łomżyńska,30,,18-400,Łomża,862178223,,centrumkultury@gminalomza.pl
Centrum Edukacji I Kultury W Damnicy,Pomorskie,Słupski,Damnica,Damnica,Ul. Wincentego Witosa,13,,76-231,Damnica,598113922,www.ceik.damnica.org/,ceik@damnica.org
Gminny Ośrodek Kultury I Czytelnictwa W Jaśliskach,Podkarpackie,Krośnieński,Jaśliska,Jaśliska,,30,,38-485,Jaśliska,134310581,www.gok-jasliska.pl/,gbpjasliska@gmail.com
Gminne Centrum Biblioteczno - Kulturalne W Wyszkach,Podlaskie,Bielski,Wyszki,Wyszki,Ul. Piórkowska,30,,17-132,Wyszki,601483999,,gcbk@wyszki.pl
Gminny Dom Kultury W Starym Helenowie,Mazowieckie,Garwoliński,Łaskarzew,Stary Helenów,,30,,08-450,Łaskarzew,256853523,,gminny.domkultury@vp.pl
Gminny Ośrodek Kultury W Dąbrowie Zielonej,Śląskie,Częstochowski,Dąbrowa Zielona,Dąbrowa Zielona,Plac Kościuszki,30,,42-265,Dąbrowa Zielona,343555055,www.gok.dabrowazielona.pl,gok@dabrowazielona.pl
Gminny Ośrodek Kultury W Leśnej Podlaskiej,Lubelskie,Bialski,Leśna Podlaska,Leśna Podlaska,Ul. Bialska,30,,21-542,Leśna Podlaska,833450745,,gok@lesnapodlaska.pl
Gminny Ośrodek Kultury,Kujawsko-Pomorskie,Aleksandrowski,Bądkowo,Bądkowo,Ul. Włocławska,30,,87-704,Bądkowo,542724005,,gokbadkowo@o2.pl
Gminny Ośrodek Kultury,Opolskie,Kędzierzyńsko-Kozielski,Cisek,Cisek,Ul. Planetorza,30,,47-253,Cisek,774871095,,gokcisek@op.pl
Gminny Ośrodek Upowszechniania Kultury W Jemielnie,Dolnośląskie,Górowski,Jemielno,Jemielno,,30,,56-209,Jemielno,655447415,,gouk.jemielno1@wp.pl
Dom Kultury W Pilźnie,Podkarpackie,Dębicki,Pilzno,Pilzno,Ul. Węgierska,30,,39-220,Pilzno,146721027,www.dkpilzno.pl,info@dkpilzno.pl
Młodzieżowy Dom Kultury Im. Konstantego Ildefonsa Gałczyńskiego W Krakowie,Małopolskie,M. Kraków,Kraków-Podgórze,Kraków,Ul. Beskidzka,30,,30-611,Kraków,124255223,www.mdkgal.edu.pl,mdkgalczynskiego@mjo.krakow.pl
Międzyrzecki Ośrodek Kultury,Lubuskie,Międzyrzecki,Międzyrzecz,Międzyrzecz,Ul. Konstytucji 3 Maja,30,,66-300,Międzyrzecz,957411802,www.mokmiedzyrzecz.pl,sekretariat@mokmiedzyrzecz.pl
Opolskie Centrum Kultury,Lubelskie,Opolski,Opole Lubelskie,Opole Lubelskie,Ul. Lubelska,30,,24-300,Opole Lubelskie,818272567,www.ockopolelubelskie.pl,sekretariat@ockopolelubelskie.pl
Ośrodek Kultury Im. Marszałka Józefa Piłsudskiego W Środzie Wielkopolskiej,Wielkopolskie,Średzki,Środa Wielkopolska,Środa Wielkopolska,Ul. 20 Października,30,,63-000,Środa Wielkopolska,612852305,www.oksroda.pl,sekretariat@oksroda.pl
Miejski Ośrodek Kultury W Żorach - Świetlica W Dzielnicy Rój,Śląskie,M. Żory,M. Żory,Żory,Ul. Wodzisławska,300,,44-245,Żory,,,
Centrum Kultury I Turystyki W Trzcianie,Małopolskie,Bocheński,Trzciana,Trzciana,,302,,32-733,Trzciana,146136122,,ckit@trzciana.pl
Samorządowy Ośrodek Kultury I Sportu Gminy Mielec Z Siedzibą W Chorzelowie,Podkarpackie,Mielecki,Mielec,Chorzelów,,307,,39-331,Chorzelów,175841483,,sekretariat@sokis.eu
Gminny Ośrodek Kultury,Podkarpackie,Mielecki,Borowa,Borowa,,307,,39-305,Borowa,175815376,,
"Gminne Centrum Kultury, Sportu I Rekreacji W Kamieniu",Podkarpackie,Rzeszowski,Kamień,Nowy Kamień,,30B,,36-053,Kamień,178556053,www.ckkamien.pl,biuro@ckkamien.pl
Centrum Kultury I Rekreacji W Starej Dąbrowie,Zachodniopomorskie,Stargardzki,Stara Dąbrowa,Stara Dąbrowa,,30BA,,73-112,Stara Dąbrowa,798081922,www.ckir.staradabrowa.pl/,ckir@staradabrowa.pl
Gminne Centrum Kultury I Bibliotek W Dobrej,Zachodniopomorskie,Policki,Dobra (Szczecińska),Dobra,Ul. Graniczna,31,,72-003,Dobra,914241980,www.gckib.pl/,biuro@gckib.pl
Centrum Kultury I Sztuki Im. Andrzeja Meżeryckiego Scena Teatralna Miasta Siedlce,Mazowieckie,M. Siedlce,M. Siedlce,Siedlce,Ul. Biskupa Ignacego Świrskiego,31,,08-110,Siedlce,256446800,www.ckis.siedlce.pl,ckis@ckis.siedlce.pl
Dąbrowickie Centrum Kultury,Łódzkie,Kutnowski,Dąbrowice,Dąbrowice,Ul. Stary Rynek,31,,99-352,Dąbrowice,242522949,,gbpdabrowice@op.pl
Gminne Centrum Kultury I Sportu,Warmińsko-Mazurskie,Nidzicki,Kozłowo,Kozłowo,Ul. Nidzicka,31,,13-124,Kozłowo,896250845,,gckis@kozlowo.pl
Gminny Ośrodek Kultury,Wielkopolskie,Chodzieski,Budzyń,Budzyń,Ul. Władysława Łokietka,31,,64-840,Budzyń,672843575,www.budzyn.pl,gok@budzyn.pl
Gminny Ośrodek Kultury W Urszulinie,Lubelskie,Włodawski,Urszulin,Urszulin,Ul. Lubelska,31,,22-234,Urszulin,511174929,,gok@urszulin.eu
Gminny Ośrodek Kultury W Białej Podlaskiej Z Siedzibą W Wilczynie,Lubelskie,M. Biała Podlaska,M. Biała Podlaska,Wilczyn,Ul. Prosta,31,,21-500,Wilczyn,833435327,,gokbp@vp.pl
Gminny Ośrodek Kultury W Herbach,Śląskie,Lubliniecki,Herby,Herby,Ul. Lubliniecka,31,,42-284,Herby,579954907,www.gok-herby.pl/kontakt/,gokherby@gmail.com
Gminny Ośrodek Kultury W Trzebieszowie,Lubelskie,Łukowski,Trzebieszów,Trzebieszów Drugi,,31,,21-404,Trzebieszów,257960383,,gokiwtrzebieszow@wp.pl
Gminny Ośrodek Kultury W Główczycach,Pomorskie,Słupski,Główczyce,Główczyce,Ul. Kościuszki,15,,76-220,Główczyce,598116127,,gok.glowczyce@gmail.com
Miejski Dom Kultury,Opolskie,Oleski,Olesno,Olesno,Ul. Wielkie Przedmieście,31,,46-300,Olesno,343582445,,mdkolesno@go2.pl
"Białobrzeskie Centrum Kultury ""Białe Brzegi""",Mazowieckie,Białobrzeski,Białobrzegi,Białobrzegi,Ul. Kościelna,31,,26-800,Białobrzegi,486132370,,mgok@bialobrzegi.pl
Gminne Centrum Kultury Multiosada W Małej Wsi,Mazowieckie,Płocki,Mała Wieś,Mała Wieś,Ul. Warszawska,31,,09-460,Mała Wieś,242697974,,multiosada@gmail.com
Poddębicki Dom Kultury I Sportu,Łódzkie,Poddębicki,Poddębice,Poddębice,Ul. Łódzka,31,,99-200,Poddębice,436782991,www.pdkis.poddebice.pl,pdkis@op.pl
Gminny Ośrodek Kultury W Lelowie,Śląskie,Częstochowski,Lelów,Lelów,Ul. Szczekocińska,31,,42-235,Lelów,343550047,,sekretariat.goklelow@gmail.com
Powiatowe Centrum Kultury W Lubaczowie,Podkarpackie,Lubaczowski,Lubaczów,Lubaczów,Ul. Kard. Stefana Wyszyńskiego,31,,37-600,Lubaczów,166321126,www.pckl.pl,sekretariat@pckl.pl
Ustrzycki Dom Kultury,Podkarpackie,Bieszczadzki,Ustrzyki Dolne,Ustrzyki Dolne,Ul. 29 Listopada,31,,38-700,Ustrzyki Dolne,134611322,www.ustrzyckidomkultury.pl/,sekretariat@ustrzyckidomkultury.pl
Centrum Kultury I Biblioteki W Szczańcu,Lubuskie,Świebodziński,Szczaniec,Szczaniec,Ul. Herbowa,31,,66-225,Szczaniec,683410382,,szok.poczta@gmail.com
Gminny Dom Kultury I Biblioteka Publiczna W Chąśnie Drugim,Łódzkie,Łowicki,Chąśno,Chąśno Drugie,,31A,,99-413,Chąśno,690372260,,domkultury@gminachasno.pl
Gminne Centrum Kultury W Poświętnem,Mazowieckie,Wołomiński,Poświętne,Wola Cygowska,,31A,,05-326,Poświętne,515508790,,gck@ugposwietne.pl
Gminny Ośrodek Kultury W Dębnicy Kaszubskiej,Pomorskie,Słupski,Dębnica Kaszubska,Dębnica Kaszubska,Ul. Ks. Antoniego Kani,55,,76-248,Dębnica Kaszubska,598131270,,gokdebnica@vp.pl
Gminny Ośrodek Kultury W Moskorzewie,Świętokrzyskie,Włoszczowski,Moskorzew,Chlewice,Ul. 16 Stycznia,32,,29-130,Moskorzew,343546132,,gok.chlewice@interia.pl
"Dom Kultury ""Kadr"" W Dzielnicy Mokotów M.St.Warszawy",Mazowieckie,M. St. Warszawa,Mokotów,Warszawa,Ul. Wincentego Rzymowskiego,32,,02-697,Warszawa,228438881,www.dkkadr.com,info@dkkadr.waw.pl
Teresiński Ośrodek Kultury,Mazowieckie,Sochaczewski,Teresin,Teresin,Aleja Xx-Lecia,32,,96-515,Teresin,468613881,www.tokesochaczew.pl,kulturysci@tok.art.pl
Niemczański Ośrodek Kultury,Dolnośląskie,Dzierżoniowski,Niemcza,Niemcza,Rynek,32,,58-230,Niemcza,665835350,,nok@nok.niemcza.pl
Ujski Dom Kultury W Ujściu,Wielkopolskie,Pilski,Ujście,Ujście,Ul. Czarnkowska,32,,64-850,Ujście,672840032,www.udk.ujscie.pl,udk@udk.ujscie.pl
Gminny Ośrodek Kultury I Sportu W Radzyniu Podlaskim,Lubelskie,Radzyński,Radzyń Podlaski,Radzyń Podlaski,Ul. Warszawska,32,,21-300,Radzyń Podlaski,834131815,,
Ośrodek Kultury W Jastrowiu - Świetlica Wiejska,Wielkopolskie,Złotowski,Jastrowie,Brzeźnica,,32,,64-915,Jastrowie,,,
